Tournament,Player,Runs,4s,6s,Wickets,Overs,Player of Tournament,Position,Tournament
Asia Cup,Shubman Gill,302,35,6,,,Kuldeep(ind),WINNER,
Asia Cup,Rohit Sharma,194,21,11,,,Kuldeep(ind),WINNER,
Asia Cup,KL Rahul,169,12,2,,,Kuldeep(ind),WINNER,
Asia Cup,Ishan Kishan,143,11,3,,,Kuldeep(ind),WINNER,
Asia Cup,Virat Kohli,129,10,,,,Kuldeep(ind),WINNER,
Asia Cup,Hardik Pandya,92,8,1,6,21.0,Kuldeep(ind),WINNER,
Asia Cup,Axar Patel,68,4,1,1,25.0,Kuldeep(ind),WINNER,
Asia Cup,Suryakumar Yadav,26,3,,,,Kuldeep(ind),WINNER,
Asia Cup,Ravindra Jadeja,25,,,6,39.5,Kuldeep(ind),WINNER,
Asia Cup,Shreyas Iyer,23,2,,,,Kuldeep(ind),WINNER,
Asia Cup,Shardul Thakur,14,1,,5,16.0,Kuldeep(ind),WINNER,
Asia Cup,Mohammed Shami,1,,,2,11.0,Kuldeep(ind),WINNER,
Asia Cup,Jasprit Bumrah,,,,4,24.0,Kuldeep(ind),WINNER,
Asia Cup,Mohammed Siraj,,,,10,26.2,Kuldeep(ind),WINNER,
Asia Cup,Kuldeep Yadav,,,,9,24.3,Kuldeep(ind),WINNER,
World Cup,Virat Kohli,765,68,9,1,3.3,Virat Kohli(ind),RUNNER,
World Cup,Rohit Sharma,597,66,31,1,0.5,Virat Kohli(ind),RUNNER,
World Cup,Shreyas Iyer,530,37,24,,,Virat Kohli(ind),RUNNER,
World Cup,KL Rahul,452,38,9,,,Virat Kohli(ind),RUNNER,
World Cup,Shubman Gill,354,41,12,,,Virat Kohli(ind),RUNNER,
World Cup,Ravindra Jadeja,120,11,1,16,93.3,Virat Kohli(ind),RUNNER,
World Cup,Suryakumar Yadav,106,12,,,,Virat Kohli(ind),RUNNER,
World Cup,Ishan Kishan,47,5,2,,,Virat Kohli(ind),RUNNER,
World Cup,Kuldeep Yadav,19,1,,15,95.1,Virat Kohli(ind),RUNNER,
World Cup,Mohammed Siraj,18,2,,14,82.2,Virat Kohli(ind),RUNNER,
World Cup,Jasprit Bumrah,18,2,,20,91.5,Virat Kohli(ind),RUNNER,
World Cup,Hardik Pandya,11,1,,5,16.3,Virat Kohli(ind),RUNNER,
World Cup,Mohammed Shami,4,1,,24,48.5,Virat Kohli(ind),RUNNER,
World Cup,Shardul Thakur,2,,,2,17.0,Virat Kohli(ind),RUNNER,
World Cup,R Ashwin,,,,1,10.0,Virat Kohli(ind),RUNNER,
Campions Trophy,Shreyas Iyer,243,16,5,,,Rachin(not ind),WINNER,
Campions Trophy,Virat Kohli,218,15,,,,Rachin(not ind),WINNER,
Campions Trophy,Shubman Gill,188,17,3,,,Rachin(not ind),WINNER,
Campions Trophy,Rohit Sharma,180,21,6,,,Rachin(not ind),WINNER,
Campions Trophy,KL Rahul,140,5,5,,,Rachin(not ind),WINNER,
Campions Trophy,Axar Patel,109,6,3,5,41.0,Rachin(not ind),WINNER,
Campions Trophy,Hardik Pandya,99,7,6,4,28.3,Rachin(not ind),WINNER,
Campions Trophy,Ravindra Jadeja,27,2,,5,39.0,Rachin(not ind),WINNER,
Campions Trophy,Mohammed Shami,5,,,9,43.0,Rachin(not ind),WINNER,
Campions Trophy,Kuldeep Yadav,1,,,7,48,Rachin(not ind),WINNER,
Campions Trophy,Varun Chakaravarthy,,,,9,27.0,Rachin(not ind),WINNER,
Campions Trophy,Harshit Rana,,,,4,16,Rachin(not ind),WINNER,
Campions Trophy,Arshdeep Singh,,,,,,Rachin(not ind),WINNER,
Campions Trophy,Rishabh Pant,,,,,,Rachin(not ind),WINNER,
Campions Trophy,Washington Sundar,,,,,,Rachin(not ind),WINNER,
