,Player,DOB,Age,Details,Image
0,Rohit,30-04-1987,37,"Rohit Sharma - Captain, Opener",rohit.jpg
1,Dhawan,05-12-1985,40,Shikhar Dhawan - Opener,dhawan.jpg
2,Virat,05-11-1988,36,Virat Kohli - Top order,virat.jpg
3,Gill,08-09-1999,25,Shubman Gill - Young player,gill.jpg
4,Iyer,06-12-1994,30,Shreyas Iyer - Middle order,iyer.jpg
5,Surya,14-09-1990,34,Suryakumar Yadav - 360 player,surya.jpg
6,Ruturaj,31-01-1997,28,Ruturaj Gaikwad - Opener,ruturaj.jpg
7,Jaiswal,28-12-2001,23,Yashasvi Jaiswal - Aggressive batter,jas.jpg
8,Mayank,16-02-1991,33,Mayank Agarwal - Opener,mayank.jpg
9,Prithvi,09-11-1999,25,Prithvi Shaw - Attacking player,shaw.jpg
